0,-50
1,50
2,0
3,-50
4,-100
5,0
6,-50
7,50
8,150
9,100
10,50
11,150
12,100
13,200
14,300
15,250
16,200
17,300
18,250
19,350
20,450
21,400
22,500
23,600
24,700
25,800
26,750
27,700
28,800
29,750
30,700
31,800
32,900
33,850
34,950
35,1050
36,1000
37,950
38,1050
39,1150
40,1250
41,1200
42,1300
43,1250
44,1200
45,1150
46,1100
47,1050
48,1150
49,1100
50,1200
51,1150
52,1250
53,1350
54,1450
55,1550
56,1650
57,1600
58,1700
59,1650
60,1600
61,1700
62,1800
63,1750
64,1700
65,1800
66,1750
67,1700
68,1800
69,1900
70,1850
71,1950
72,2000
73,2000
74,2000
75,2000
76,2000
77,2000
78,1950
79,1900
80,1850
81,1800
82,1750
83,1700
84,1650
85,1600
86,1700
87,1800
88,1900
89,2000
90,2000
91,1950
92,1900
93,1850
94,1800
95,1900
96,1850
97,1800
98,1750
99,1850
100,1950
101,1900
102,2000
103,2000
104,2000
105,1950
106,2000
107,1950
108,2000
109,1950
110,1900
111,1850
112,1800
113,1750
114,1700
115,1650
116,1750
117,1700
118,1650
119,1600
120,1700
121,1650
122,1750
123,1700
124,1650
125,1750
126,1850
127,1950
128,2000
129,1950
130,2000
131,1950
132,1900
133,2000
134,1950
135,1900
136,1850
137,1950
138,2000
139,1950
140,1900
141,1850
142,1800
143,1750
144,1700
145,1650
146,1750
147,1850
148,1800
149,1750
150,1700
151,1800
152,1750
153,1700
154,1650
155,1600
156,1550
157,1650
158,1600
159,1700
160,1650
161,1600
162,1700
163,1650
164,1600
165,1700
166,1650
167,1750
168,1700
169,1800
170,1900
171,1850
172,1800
173,1750
174,1700
175,1650
176,1600
177,1550
178,1650
179,1600
180,1700
181,1800
182,1900
183,1850
184,1800
185,1900
186,2000
187,1950
188,1900
189,1850
190,1800
191,1900
192,2000
193,2000
194,2000
195,2000
196,1950
197,1900
198,1850
199,1950
200,1900
201,1850
202,1800
203,1900
204,1850
205,1800
206,1900
207,2000
208,2000
209,2000
210,2000
211,2000
212,1950
213,2000
214,2000
215,2000
216,2000
217,2000
218,2000
219,2000
220,2000
221,1950
222,1900
223,2000
224,2000
225,2000
226,1950
227,2000
228,2000
229,1950
230,1900
231,1850
232,1800
233,1900
234,1850
235,1950
236,2000
237,2000
238,1950
239,1900
240,2000
241,1950
242,2000
243,1950
244,2000
245,1950
246,1900
247,1850
248,1800
249,1750
250,1850
251,1950
252,2000
253,1950
254,2000
255,1950
256,1900
257,2000
258,2000
259,1950
260,2000
261,1950
262,2000
263,2000
264,2000
265,2000
266,1950
267,1900
268,2000
269,2000
270,2000
271,1950
272,2000
273,1950
274,2000
275,2000
276,2000
277,2000
278,2000
279,1950
280,2000
281,1950
282,2000
283,2000
284,1950
285,1900
286,1850
287,1800
288,1750
289,1700
290,1800
291,1750
292,1700
293,1650
294,1600
295,1550
296,1650
297,1600
298,1700
299,1800
300,1900
301,1850
302,1950
303,2000
304,2000
305,2000
306,1950
307,1900
308,2000
309,1950
310,2000
311,1950
312,1900
313,1850
314,1950
315,2000
316,2000
317,2000
318,1950
319,1900
320,2000
321,2000
322,1950
323,1900
324,1850
325,1800
326,1900
327,2000
328,1950
329,2000
330,1950
331,2000
332,2000
333,2000
334,2000
335,2000
336,1950
337,2000
338,2000
339,2000
340,1950
341,2000
342,2000
343,1950
344,1900
